lh.aparc.area,lh_bankssts_area,lh_caudalanteriorcingulate_area,lh_caudalmiddlefrontal_area,lh_cuneus_area,lh_entorhinal_area,lh_fusiform_area,lh_inferiorparietal_area,lh_inferiortemporal_area,lh_isthmuscingulate_area,lh_lateraloccipital_area,lh_lateralorbitofrontal_area,lh_lingual_area,lh_medialorbitofrontal_area,lh_middletemporal_area,lh_parahippocampal_area,lh_paracentral_area,lh_parsopercularis_area,lh_parsorbitalis_area,lh_parstriangularis_area,lh_pericalcarine_area,lh_postcentral_area,lh_posteriorcingulate_area,lh_precentral_area,lh_precuneus_area,lh_rostralanteriorcingulate_area,lh_rostralmiddlefrontal_area,lh_superiorfrontal_area,lh_superiorparietal_area,lh_superiortemporal_area,lh_supramarginal_area,lh_frontalpole_area,lh_temporalpole_area,lh_transversetemporal_area,lh_insula_area,lh_WhiteSurfArea_area
sub-fsm02cd,944.0,796.0,2410.0,1512.0,481.0,3054.0,4083.0,3785.0,1072.0,4520.0,2794.0,3102.0,2132.0,3079.0,717.0,1104.0,1452.0,848.0,1510.0,1281.0,4263.0,1268.0,4587.0,3304.0,1098.0,6284.0,7738.0,4846.0,3910.0,3587.0,340.0,563.0,475.0,2306.0,85245.6
sub-fsm08un,966.0,650.0,1926.0,1712.0,450.0,2702.0,4013.0,3376.0,1135.0,4938.0,2631.0,3510.0,2001.0,3026.0,618.0,1175.0,1506.0,711.0,1451.0,1683.0,4374.0,1140.0,5007.0,3701.0,796.0,6334.0,7172.0,4946.0,4039.0,3672.0,272.0,497.0,431.0,2290.0,84849.4
sub-fsm10cv,923.0,487.0,2002.0,1740.0,414.0,3075.0,4434.0,3205.0,996.0,5054.0,2697.0,2907.0,1810.0,2932.0,693.0,1383.0,1499.0,613.0,1062.0,1461.0,4033.0,940.0,4485.0,3680.0,1007.0,5183.0,7064.0,5634.0,3612.0,3124.0,208.0,488.0,431.0,2011.0,81287.7
sub-fsm11ni,1033.0,630.0,2345.0,1692.0,585.0,3046.0,4222.0,3273.0,1167.0,4535.0,2556.0,3404.0,1699.0,3085.0,641.0,1334.0,1819.0,770.0,1512.0,1406.0,3944.0,1273.0,4947.0,3526.0,911.0,6174.0,7824.0,5329.0,4151.0,3549.0,255.0,533.0,462.0,2795.0,86425.8
sub-fsm14pu,1137.0,586.0,2150.0,1510.0,387.0,3778.0,4420.0,4044.0,1134.0,5093.0,3228.0,3029.0,2074.0,3623.0,640.0,1404.0,2362.0,941.0,1936.0,1335.0,4183.0,1459.0,5494.0,4374.0,952.0,6641.0,8669.0,5616.0,4955.0,4589.0,255.0,468.0,599.0,2529.0,95594.8
sub-fsm21em,921.0,561.0,2079.0,1524.0,327.0,2747.0,3831.0,2769.0,1180.0,5476.0,3193.0,3790.0,2021.0,3677.0,601.0,1184.0,1906.0,800.0,1526.0,1389.0,4210.0,1303.0,4854.0,3961.0,932.0,6411.0,8087.0,6104.0,4808.0,4966.0,300.0,494.0,614.0,2758.0,91303.6
sub-fsm22db,968.0,623.0,2698.0,1711.0,334.0,3337.0,5558.0,3705.0,937.0,5958.0,3279.0,3550.0,2367.0,3882.0,815.0,1665.0,1750.0,793.0,1737.0,1677.0,4414.0,1294.0,5472.0,4081.0,987.0,6952.0,10090.0,6700.0,4718.0,3392.0,297.0,446.0,582.0,2595.0,99365.8
sub-fsm23qf,653.0,354.0,1669.0,1598.0,376.0,3052.0,3481.0,2935.0,759.0,4559.0,2429.0,3181.0,1612.0,2304.0,508.0,1169.0,1637.0,532.0,1317.0,1634.0,3274.0,787.0,3687.0,3143.0,706.0,4046.0,5398.0,4792.0,3086.0,3171.0,238.0,407.0,370.0,2003.0,70869.8
sub-fsm24dz,1027.0,648.0,1575.0,1408.0,487.0,2861.0,4926.0,3725.0,1006.0,4833.0,2643.0,2583.0,1786.0,3127.0,604.0,1435.0,1476.0,759.0,1388.0,1159.0,3737.0,1223.0,3824.0,3878.0,827.0,6559.0,7030.0,5300.0,3516.0,3512.0,249.0,539.0,389.0,2210.0,82246.3
sub-fsm27uz,1160.0,923.0,2555.0,1671.0,548.0,3138.0,4947.0,3679.0,1216.0,5672.0,3261.0,3287.0,2244.0,2971.0,652.0,1458.0,1744.0,790.0,1597.0,1379.0,4288.0,1203.0,5298.0,3882.0,1352.0,7185.0,8151.0,5459.0,5311.0,5333.0,296.0,465.0,899.0,2399.0,96410.9
