lh.aparc.area,lh_bankssts_area,lh_caudalanteriorcingulate_area,lh_caudalmiddlefrontal_area,lh_cuneus_area,lh_entorhinal_area,lh_fusiform_area,lh_inferiorparietal_area,lh_inferiortemporal_area,lh_isthmuscingulate_area,lh_lateraloccipital_area,lh_lateralorbitofrontal_area,lh_lingual_area,lh_medialorbitofrontal_area,lh_middletemporal_area,lh_parahippocampal_area,lh_paracentral_area,lh_parsopercularis_area,lh_parsorbitalis_area,lh_parstriangularis_area,lh_pericalcarine_area,lh_postcentral_area,lh_posteriorcingulate_area,lh_precentral_area,lh_precuneus_area,lh_rostralanteriorcingulate_area,lh_rostralmiddlefrontal_area,lh_superiorfrontal_area,lh_superiorparietal_area,lh_superiortemporal_area,lh_supramarginal_area,lh_frontalpole_area,lh_temporalpole_area,lh_transversetemporal_area,lh_insula_area,lh_WhiteSurfArea_area
sub-fsm02cd,966.0,842.0,2414.0,1522.0,481.0,3086.0,4123.0,3655.0,1133.0,4681.0,2825.0,3151.0,2198.0,3056.0,759.0,1109.0,1460.0,853.0,1468.0,1281.0,4289.0,1313.0,4524.0,3352.0,1011.0,6092.0,7913.0,4880.0,3827.0,3570.0,309.0,540.0,486.0,2250.0,85422.5
sub-fsm08un,937.0,631.0,1946.0,1683.0,497.0,2688.0,3961.0,3458.0,1188.0,5037.0,2651.0,3428.0,1996.0,3051.0,610.0,1200.0,1499.0,708.0,1409.0,1695.0,4234.0,1196.0,5055.0,3673.0,845.0,6134.0,7009.0,4846.0,3998.0,3655.0,272.0,467.0,434.0,2202.0,84292.1
sub-fsm10cv,1001.0,477.0,1979.0,1822.0,382.0,3037.0,4297.0,3177.0,1054.0,5022.0,2514.0,2949.0,1761.0,2866.0,725.0,1393.0,1453.0,640.0,1080.0,1533.0,4047.0,983.0,4451.0,3649.0,1005.0,5091.0,7048.0,5564.0,3665.0,3180.0,236.0,505.0,430.0,1988.0,81000.9
sub-fsm11ni,991.0,593.0,2307.0,1645.0,481.0,2913.0,3879.0,2926.0,1104.0,4540.0,2296.0,3224.0,1854.0,2839.0,646.0,1327.0,1782.0,759.0,1433.0,1319.0,3931.0,1306.0,4956.0,3435.0,649.0,5576.0,7438.0,5167.0,4015.0,3469.0,296.0,590.0,426.0,2588.0,82699.3
sub-fsm14pu,1093.0,585.0,2106.0,1523.0,373.0,3812.0,4386.0,4017.0,1119.0,5150.0,3182.0,2989.0,2184.0,3477.0,629.0,1404.0,2389.0,922.0,1935.0,1324.0,4182.0,1423.0,5521.0,4316.0,861.0,6550.0,8587.0,5663.0,4973.0,4526.0,277.0,422.0,624.0,2357.0,94881.2
sub-fsm21em,895.0,538.0,2068.0,1545.0,341.0,2742.0,3767.0,2820.0,1113.0,5416.0,3137.0,3732.0,1989.0,3648.0,607.0,1192.0,1910.0,804.0,1486.0,1428.0,4180.0,1318.0,4795.0,3903.0,871.0,6295.0,7945.0,6128.0,4744.0,4872.0,312.0,464.0,647.0,2832.0,90484.6
sub-fsm22db,947.0,606.0,2619.0,1789.0,437.0,3292.0,5490.0,3680.0,969.0,5887.0,3076.0,3641.0,2361.0,3864.0,794.0,1658.0,1733.0,794.0,1720.0,1632.0,4323.0,1279.0,5463.0,4020.0,937.0,6880.0,9890.0,6611.0,4717.0,3512.0,327.0,493.0,573.0,2768.0,98780.5
sub-fsm23qf,638.0,387.0,1669.0,1664.0,408.0,2974.0,3463.0,2916.0,791.0,4569.0,2412.0,3252.0,1702.0,2233.0,523.0,1176.0,1626.0,489.0,1323.0,1489.0,3316.0,832.0,3655.0,3146.0,593.0,3987.0,5417.0,4794.0,3074.0,3099.0,231.0,456.0,365.0,1978.0,70646.1
sub-fsm24dz,973.0,660.0,1513.0,1355.0,488.0,2944.0,4921.0,3667.0,1039.0,4875.0,2428.0,2683.0,1597.0,3081.0,620.0,1427.0,1381.0,726.0,1487.0,1095.0,3677.0,1182.0,3807.0,3881.0,850.0,6304.0,7091.0,5318.0,3493.0,3451.0,265.0,554.0,385.0,2440.0,81657.4
sub-fsm27uz,1074.0,911.0,2543.0,1548.0,512.0,3181.0,4933.0,3662.0,1211.0,5599.0,3138.0,3261.0,1983.0,2993.0,617.0,1506.0,1746.0,773.0,1518.0,1335.0,4353.0,1206.0,5283.0,3850.0,1214.0,6556.0,7986.0,5423.0,5272.0,5265.0,321.0,574.0,767.0,2570.0,94680.1
